month,year,chlvals,chl,Year,Month
03,2006,663660,0.8527891292437019,2006,March
03,2007,436109,0.6603907836348109,2007,March
03,2008,114002,0.4403356593773901,2008,March
03,2009,444798,1.442046400718074,2009,March
03,2010,68329,0.498815396181378,2010,March
03,2011,553165,0.9015379445085188,2011,March
03,2012,94238,0.26144238315884816,2012,March
03,2013,297141,1.2198283409059467,2013,March
03,2014,578212,1.0060072552040527,2014,March
03,2015,479420,0.9675312966634372,2015,March
03,2016,665088,1.1813618970002107,2016,March
03,2017,530894,1.2686364083461978,2017,March
03,2018,662344,1.3252261506263525,2018,March
03,2019,751934,1.152785080500939,2019,March
04,2006,488717,0.8545574401002267,2006,April
04,2007,587688,2.155202336199276,2007,April
04,2008,173770,1.5451675927983584,2008,April
04,2009,238776,1.306781441736607,2009,April
04,2010,339304,4.061603901496129,2010,April
04,2011,486562,1.05075225144695,2011,April
04,2012,122768,9.780566242236342,2012,April
04,2013,484272,2.051844908067488,2013,April
04,2014,605256,4.030632674983836,2014,April
04,2015,572595,1.4097732442526818,2015,April
04,2016,666698,1.79124464605674,2016,April
04,2017,471061,8.563189773598035,2017,April
04,2018,654111,1.1710920102172622,2018,April
04,2019,696594,2.378976956650414,2019,April
05,2006,673655,1.1925758571151759,2006,May
05,2007,642908,1.1400965576435238,2007,May
05,2008,495489,2.7127843164987544,2008,May
05,2009,752903,3.1223579831016295,2009,May
05,2010,520591,5.1259159398117,2010,May
05,2011,664204,0.6148033940246991,2011,May
05,2012,392383,8.959393002044031,2012,May
05,2013,664419,3.9688925377200444,2013,May
05,2014,627957,6.787344424079188,2014,May
05,2015,642304,4.51031975540133,2015,May
05,2016,724738,4.417072415815998,2016,May
05,2017,623222,2.008307183624494,2017,May
05,2018,532975,1.711990920821957,2018,May
05,2019,657547,2.8864807595899595,2019,May
06,2006,486644,1.927212178612519,2006,June
06,2007,425383,1.1518286868512626,2007,June
06,2008,187484,1.4596099400988949,2008,June
06,2009,611810,1.3514631079522013,2009,June
06,2010,560910,0.9253283960562484,2010,June
06,2011,365838,0.6042804750175468,2011,June
06,2012,582146,1.6007810662988846,2012,June
06,2013,347704,1.0727160675420506,2013,June
06,2014,693353,1.5579607878558086,2014,June
06,2015,665976,2.311058784527724,2015,June
06,2016,675035,1.317425808858883,2016,June
06,2017,612331,0.5561455298350857,2017,June
06,2018,586739,2.7066134757223548,2018,June
06,2019,571455,1.00220562096549,2019,June
07,2006,502097,0.44187597295706543,2006,July
07,2007,465034,0.6019028231642153,2007,July
07,2008,541772,0.6913849873805847,2008,July
07,2009,417300,0.6833644379355083,2009,July
07,2010,414231,0.4456522063254179,2010,July
07,2011,311376,1.3213683158057814,2011,July
07,2012,328677,0.6442486849341735,2012,July
07,2013,387983,0.23405027159194408,2013,July
07,2014,612729,0.7845111348128294,2014,July
07,2015,359236,1.01130938879118,2015,July
07,2016,726810,1.405811055687321,2016,July
07,2017,234451,0.5793936341953786,2017,July
07,2018,334350,0.9681724247511002,2018,July
07,2019,471638,1.0230760431102313,2019,July
